[2026-06-20T19:25:50.935565] Company: ABB, Year: 2012-12, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.955563] Company: ABB, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:50.980805] Company: ABB, Year: 2015-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.164874] Company: ADANIENSOL, Year: 2014-03, Metric: npm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.165869] Company: ADANIENSOL, Year: 2014-03, Metric: opm, Issue: Division by zero (sales=0)
[2026-06-20T19:25:51.166773] Company: ADANIENSOL, Year: 2014-03, Metric: icr, Issue: Debt Free substitution (interest=0)
[2026-06-20T19:25:51.167829] Company: ADANIENSOL, Year: 2014-03, Metric: asset_turnover, Issue: Division by zero (total_assets=0)
[2026-06-20T19:26:07.941731] Company: TATAPOWER, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=3.0)
[2026-06-20T19:26:07.956726] Company: TATAPOWER, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=9.0)
[2026-06-20T19:26:07.971755] Company: TATAPOWER, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=9.0)
[2026-06-20T19:26:08.028624] Company: TATAPOWER, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=10.0)
[2026-06-20T19:26:08.044371] Company: TATAPOWER, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=12.0)
[2026-06-20T19:26:08.104668] Company: TATASTEEL, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: BOTH_NEGATIVE (start=-7272, end=-497)
[2026-06-20T19:26:08.110581] Company: TATASTEEL, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ERROR (start=-6.0, end=0.0)
[2026-06-20T19:26:08.123605] Company: TATASTEEL, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3665, end=-4169)
[2026-06-20T19:26:08.128310] Company: TATASTEEL, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3.0, end=-4.0)
[2026-06-20T19:26:08.139256] Company: TATASTEEL, Year: 2018-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3939, end=17743)
[2026-06-20T19:26:08.141320] Company: TATASTEEL, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-7272, end=17743)
[2026-06-20T19:26:08.144361] Company: TATASTEEL, Year: 2018-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=12.0)
[2026-06-20T19:26:08.147364] Company: TATASTEEL, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-6.0, end=12.0)
[2026-06-20T19:26:08.157367] Company: TATASTEEL, Year: 2019-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-497, end=9122)
[2026-06-20T19:26:08.161360] Company: TATASTEEL, Year: 2019-03, Metric: eps_cagr_3yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=9.0)
[2026-06-20T19:26:08.172469] Company: TATASTEEL, Year: 2020-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-4169, end=1174)
[2026-06-20T19:26:08.174461] Company: TATASTEEL, Year: 2020-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3939, end=1174)
[2026-06-20T19:26:08.178105] Company: TATASTEEL, Year: 2020-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-4.0, end=1.0)
[2026-06-20T19:26:08.180224] Company: TATASTEEL, Year: 2020-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-3.0, end=1.0)
[2026-06-20T19:26:08.191193] Company: TATASTEEL, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-497, end=8190)
[2026-06-20T19:26:08.195190] Company: TATASTEEL, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: ZERO_BASE (start=0.0, end=6.0)
[2026-06-20T19:26:08.206812] Company: TATASTEEL, Year: 2022-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-4169, end=41749)
[2026-06-20T19:26:08.211813] Company: TATASTEEL, Year: 2022-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-4.0, end=33.0)
[2026-06-20T19:26:08.223922] Company: TATASTEEL, Year: 2023-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-7272, end=8075)
[2026-06-20T19:26:08.228646] Company: TATASTEEL, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-6.0, end=7.0)
[2026-06-20T19:26:08.237258] Company: TATASTEEL, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=8190, end=-4910)
[2026-06-20T19:26:08.239263] Company: TATASTEEL, Year: 2024-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=9122, end=-4910)
[2026-06-20T19:26:08.241256] Company: TATASTEEL, Year: 2024-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3665, end=-4910)
[2026-06-20T19:26:08.243260] Company: TATASTEEL, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=6.0, end=-4.0)
[2026-06-20T19:26:08.245216] Company: TATASTEEL, Year: 2024-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=9.0, end=-4.0)
[2026-06-20T19:26:08.247215] Company: TATASTEEL, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3.0, end=-4.0)
[2026-06-20T19:26:09.097934] Company: TRENT, Year: 2016-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-27, end=55)
[2026-06-20T19:26:09.102549] Company: TRENT, Year: 2016-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=2.0)
[2026-06-20T19:26:09.113582] Company: TRENT, Year: 2017-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-19, end=85)
[2026-06-20T19:26:09.119677] Company: TRENT, Year: 2017-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=3.0)
[2026-06-20T19:26:09.138145] Company: TRENT, Year: 2018-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-27, end=87)
[2026-06-20T19:26:09.145041] Company: TRENT, Year: 2018-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=3.0)
[2026-06-20T19:26:09.160949] Company: TRENT, Year: 2019-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-19, end=95)
[2026-06-20T19:26:09.166972] Company: TRENT, Year: 2019-03, Metric: eps_cagr_5yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=3.0)
[2026-06-20T19:26:09.197523] Company: TRENT, Year: 2021-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=87, end=-181)
[2026-06-20T19:26:09.200526] Company: TRENT, Year: 2021-03, Metric: net_profit_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=55, end=-181)
[2026-06-20T19:26:09.204215] Company: TRENT, Year: 2021-03, Metric: eps_cagr_3yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=3.0, end=-4.0)
[2026-06-20T19:26:09.206134] Company: TRENT, Year: 2021-03, Metric: eps_cagr_5yr, Issue: CAGR flag: DECLINE_TO_LOSS (start=2.0, end=-4.0)
[2026-06-20T19:26:09.234243] Company: TRENT, Year: 2023-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-27, end=394)
[2026-06-20T19:26:09.238046] Company: TRENT, Year: 2023-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=13.0)
[2026-06-20T19:26:09.247044] Company: TRENT, Year: 2024-03, Metric: net_profit_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-181, end=1477)
[2026-06-20T19:26:09.250044] Company: TRENT, Year: 2024-03, Metric: net_profit_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-19, end=1477)
[2026-06-20T19:26:09.252028] Company: TRENT, Year: 2024-03, Metric: eps_cagr_3yr, Issue: CAGR flag: TURNAROUND (start=-4.0, end=42.0)
[2026-06-20T19:26:09.256045] Company: TRENT, Year: 2024-03, Metric: eps_cagr_10yr, Issue: CAGR flag: TURNAROUND (start=-1.0, end=42.0)
